Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
DevOps on AWS Specialization;Computer Science;4,7;0,0;24,0;Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ;811;Morgan Willis ,Seph Robinson ,Rafael Lopes ,Russell Sayers ,Alana Layton ,;English;Coursera;Specialization;Unkown
Generative Adversarial Networks (GANs) Specialization;Data Science;4,7;0,0;24,0;Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ;1;Sharon Zhou ,Eda Zhou ,Eric Zelikman ,;English;Coursera;Specialization;Unkown
Data Visualization with Tableau Specialization;Data Science;4,5;0,0;48,0;Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ;6;Desiree' Abbott ,Govind Acharya ,Hunter Whitney ,Suk S. Brar, M.B.A. ,;English;Coursera;Specialization;Unkown
Certified in Cybersecurity Specialization;Information Technology;4,6;0,0;64,0;Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ;114;(ISC)² Education & Training ,;English;Coursera;Specialization;Unkown
Business Strategy Specialization;Business;4,8;0,0;48,0;Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ;2;Michael Lenox ,Jared Harris ,Scott Snell ,;English;Coursera;Specialization;Unkown
Applied Data Science with Python Specialization;Data Science;4,5;0,0;40,0;Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ;25;Christopher Brooks ,Kevyn Collins-Thompson ,V. G. Vinod Vydiswaran ,Daniel Romero ,;English;Coursera;Specialization;Unkown
Human Resource Management: HR for People Managers Specialization;Business;4,8;0,0;48,0;Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ;10;John W. Budd ,Amy Simon ,Stacy Doepner-Hove ,Larry Bourgerie ,Alan Benson ,Mike Davis ,;English;Coursera;Specialization;Unkown
Achieving Personal and Professional Success Specialization;Personal Development;4,7;0,0;32,0;goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ;2;Richard Shell ,Maurice Schweitzer ,Stewart D.  Friedman ,Cade Massey ,;English;Coursera;Specialization;Unkown
Regulatory Compliance Specialization;Business;4,8;0,0;32,0;Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ;1;Andrew Kandel ,Lauren Steinfeld ,;English;Coursera;Specialization;Unkown
TESOL Certificate, Part 1: Teach English Now! Specialization;Language Learning;4,9;0,0;48,0;Education, Online Learning, ;9;Emilia Gracia ,Dr. Justin Shewell ,Andrea Mürau Haraway ,Dr. Shane Dixon ,Jessica Cinco ,;English;Coursera;Specialization;Unkown
Financial Engineering and Risk Management Specialization;Business;4,5;0,0;56,0;Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, ;145;Garud Iyengar ,Ali Hirsa ,Martin Haugh ,;English;Coursera;Specialization;Unkown
UI / UX Design Specialization;Arts and Humanities;4,7;0,0;32,0;Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ;6;Michael Worthington ,Roman Jaster ,;English;Coursera;Specialization;Unkown
Product Ideation, Design, and Management Specialization;Business;4,5;0,0;40,0;Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), ;237;Dr. James V. Green ,Cait von Schnetlage ,Michael R. Pratt ,;English;Coursera;Specialization;Unkown
Financial Analysis - Skills for Success Specialization;Business;4,6;0,0;24,0;Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, ;65;Gies College of Business, University of Illinois ,;English;Coursera;Specialization;Unkown
Creative Writing Specialization;Arts and Humanities;4,7;0,0;48,0;Short Story Writing, Fiction Writing, Creativity, Copy Editing, ;4;Brando Skyhorse ,Amy Bloom ,Amity Gaige ,Salvatore Scibona ,;English;Coursera;Specialization;Unkown
Data Structures and Algorithms Specialization;Computer Science;4,6;0,0;64,0;Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, ;12;Neil Rhodes ,Daniel M Kane ,Michael Levin ,Michael Levin ,Pavel  Pevzner ,Alexander S. Kulikov ,;English;Coursera;Specialization;Unkown
Software Product Management Specialization;Computer Science;4,7;0,0;48,0;Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, ;8;Kenny Wong ,;English;Coursera;Specialization;Unkown
Foundations of Management Specialization;Business;4,7;0,0;48,0;Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, ;1;Marc Badia ,Miguel Antón ,Mario Capizzani ,Anneloes Raes ,Carlos García Pont ,;English;Coursera;Specialization;Unkown
Genomic Data Science Specialization;Data Science;4,4;0,0;48,0;Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, ;5;Steven Salzberg, PhD ,Jeff Leek, PhD ,Mihaela Pertea, PhD ,Ben Langmead, PhD ,Jacob Pritt ,Liliana Florea, PhD ,Kasper Daniel Hansen, PhD ,;English;Coursera;Specialization;Unkown
Methods and Statistics in Social Sciences Specialization;Social Sciences;4,6;0,0;80,0;Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), ;3;Annemarie Zand Scholten ,Gerben Moerman ,Matthijs Rooduijn ,Emiel van Loon ,;English;Coursera;Specialization;Unkown
NoSQL, Big Data, and Spark Foundations Specialization;Information Technology;4,3;0,0;32,0;Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, ;102;Rav Ahuja ,Ramesh Sannareddy ,Steve Ryan ,Karthik Muthuraman ,Aije Egwaikhide ,Romeo Kienzler ,;English;Coursera;Specialization;Unkown
